op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,91.257,91.9945297241211,149.205,116.34097862243652,240.46200000000002,208.33550834655762
batchnorm,21.567,21.104516983032227,549.942,566.1534576416016,571.509,587.2579746246338
relu,4.96,6.198923587799072,251.117,245.2098503112793,256.077,251.40877389907837
conv2d,89.402,78.37542724609375,130.838,134.46175003051758,220.24,212.83717727661133
cat,26.302,25.18303108215332,157.269,164.45751953125,183.571,189.64055061340332
batchnorm,48.763,57.08108139038086,534.329,546.0032196044922,583.092,603.084300994873
relu,7.423,9.495973587036133,223.536,238.20377731323242,230.959,247.69975090026855
conv2d,102.04,96.30262756347656,101.593,113.23855590820312,203.633,209.5411834716797
batchnorm,21.501,21.8022403717041,559.639,566.3123168945312,581.14,588.1145572662354
relu,4.864,6.000986576080322,239.15,244.35136795043945,244.014,250.35235452651978
conv2d,89.466,82.97704696655273,114.103,141.06055450439453,203.569,224.03760147094727
cat,27.646,24.913698196411133,169.715,163.19465255737305,197.361,188.10835075378418
batchnorm,53.148,60.888665199279785,488.892,520.7761993408203,542.04,581.6648645401001
relu,7.871,12.432962417602539,235.758,240.91505813598633,243.62900000000002,253.34802055358887
conv2d,156.596,139.76551246643066,26.751,73.29862689971924,183.347,213.0641393661499
avg_pool2d,9.471,14.860971570014954,329.64,325.4039306640625,339.111,340.26490223407745
batchnorm,31.676,31.95978832244873,540.825,564.1358947753906,572.5010000000001,596.0956830978394
relu,4.511,3.6091561317443848,227.408,238.8599967956543,231.91899999999998,242.46915292739868
conv2d,40.796,49.0449104309082,316.105,167.50991821289062,356.901,216.55482864379883
batchnorm,20.351,24.816499710083008,550.742,565.9649505615234,571.093,590.7814502716064
relu,4.224,4.65087366104126,231.791,228.96556091308594,236.015,233.6164345741272
conv2d,70.075,64.28700542449951,153.332,143.20355606079102,223.40699999999998,207.49056148529053
cat,7.967,13.295442581176758,168.852,177.08048248291016,176.81900000000002,190.3759250640869
batchnorm,33.692,35.500346183776855,540.473,565.4782867431641,574.165,600.9786329269409
relu,4.608,4.945139408111572,226.671,234.05424118041992,231.279,238.9993805885315
conv2d,44.989,44.60422897338867,157.684,163.59465789794922,202.673,208.1988868713379
batchnorm,20.574,23.64470863342285,537.72,566.5522155761719,558.294,590.1969242095947
relu,4.224,5.2839837074279785,223.279,232.8676528930664,227.503,238.15163660049438
conv2d,70.076,67.96353721618652,148.148,149.63119506835938,218.224,217.5947322845459
cat,9.503,9.651079177856445,168.595,175.1712532043457,178.098,184.82233238220215
batchnorm,34.045,31.563807487487793,544.217,561.0439147949219,578.262,592.6077222824097
relu,4.639,5.330996036529541,227.055,229.5838851928711,231.69400000000002,234.91488122940063
conv2d,48.637,51.76007843017578,154.004,163.27839279174805,202.641,215.03847122192383
batchnorm,20.479,23.842470169067383,554.518,568.4258422851562,574.9970000000001,592.2683124542236
relu,4.256,5.097574710845947,224.783,232.2235221862793,229.039,237.32109689712524
conv2d,70.011,64.38027000427246,152.565,146.16718673706055,222.576,210.547456741333
cat,10.079,11.204225659370422,170.323,177.04079055786133,180.40200000000002,188.24501621723175
batchnorm,38.205,31.822542667388916,691.661,570.7707672119141,729.866,602.593309879303
relu,4.639,5.512056827545166,231.695,233.45473861694336,236.334,238.96679544448853
conv2d,52.572,51.02112579345703,153.141,159.10455322265625,205.713,210.12567901611328
batchnorm,20.447,20.875749588012695,543.063,567.7356719970703,563.51,588.611421585083
relu,4.351,4.5037407875061035,221.68,232.0480499267578,226.031,236.55179071426392
conv2d,70.138,66.58751773834229,153.205,159.09284591674805,223.34300000000002,225.68036365509033
cat,11.167,12.260339736938477,173.139,174.62998962402344,184.306,186.8903293609619
batchnorm,40.286,41.68673324584961,535.032,552.5601654052734,575.318,594.246898651123
relu,4.703,5.8564629554748535,235.151,232.5028953552246,239.854,238.35935831069946
conv2d,57.147,59.35035991668701,148.086,151.46226119995117,205.233,210.81262111663818
batchnorm,20.542,21.541902542114258,546.967,559.1237487792969,567.509,580.6656513214111
relu,4.192,4.509974002838135,221.455,226.6637306213379,225.64700000000002,231.17370462417603
conv2d,70.01,68.35694599151611,164.021,168.80909729003906,234.031,237.16604328155518
cat,12.639,12.514162063598633,167.316,172.69660568237305,179.955,185.21076774597168
batchnorm,44.284,47.04600143432617,532.056,549.6152038574219,576.34,596.661205291748
relu,4.64,5.681131839752197,227.343,228.44332122802734,231.98299999999998,234.12445306777954
conv2d,60.827,62.697336196899414,144.47,146.81214904785156,205.297,209.50948524475098
batchnorm,20.607,23.147592544555664,540.183,557.7983245849609,560.79,580.9459171295166
relu,4.288,4.18847131729126,222.447,227.59493255615234,226.735,231.7834038734436
conv2d,70.012,66.61096000671387,304.808,174.34154510498047,374.82,240.95250511169434
